"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	170	"C:\Hannah's FYP\White16_neu.jpg"	"smile"	"White"	"eyes"	"Pos"	222	502	2	0	1	"Con"
2	171	"C:\Hannah's FYP\Black18_neu.jpg"	"success"	"Black"	"nose"	"Pos"	132	867	2	0	1	"Incon"
2	172	"C:\Hannah's FYP\White24_neu.jpg"	"paradise"	"White"	"nose"	"Pos"	232	1384	2	0	1	"Con"
2	173	"C:\Hannah's FYP\White1_neu.jpg"	"paradise"	"White"	"forehead"	"Pos"	212	480	2	0	1	"Con"
2	174	"C:\Hannah's FYP\White4_neu.jpg"	"poison"	"White"	"forehead"	"Neg"	211	734	1	0	1	"Incon"
2	175	"C:\Hannah's FYP\Black17_neu.jpg"	"smile"	"Black"	"nose"	"Pos"	132	575	2	0	1	"Incon"
2	176	"C:\Hannah's FYP\Black3_neu.jpg"	"disgust"	"Black"	"forehead"	"Neg"	111	904	1	0	1	"Con"
2	177	"C:\Hannah's FYP\Black24_neu.jpg"	"vacation"	"Black"	"nose"	"Pos"	132	1137	2	0	1	"Incon"
2	178	"C:\Hannah's FYP\White17_neu.jpg"	"beauty"	"White"	"nose"	"Pos"	232	498	2	0	1	"Con"
2	179	"C:\Hannah's FYP\Black11_neu.jpg"	"paradise"	"Black"	"eyes"	"Pos"	122	727	2	0	1	"Incon"
2	180	"C:\Hannah's FYP\White18_neu.jpg"	"paradise"	"White"	"nose"	"Pos"	232	503	2	0	1	"Con"
2	181	"C:\Hannah's FYP\White9_neu.jpg"	"despair"	"White"	"eyes"	"Neg"	221	1156	1	0	1	"Incon"
2	182	"C:\Hannah's FYP\White3_neu.jpg"	"garbage"	"White"	"forehead"	"Neg"	211	908	1	0	1	"Incon"
2	183	"C:\Hannah's FYP\White15_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	776	1	0	1	"Incon"
2	184	"C:\Hannah's FYP\Black7_neu.jpg"	"joy"	"Black"	"forehead"	"Pos"	112	1023	2	0	1	"Incon"
2	185	"C:\Hannah's FYP\Black1_neu.jpg"	"paradise"	"Black"	"forehead"	"Pos"	112	1205	2	0	1	"Incon"
2	186	"C:\Hannah's FYP\White7_neu.jpg"	"vomit"	"White"	"forehead"	"Neg"	211	620	1	0	1	"Incon"
2	187	"C:\Hannah's FYP\Black8_neu.jpg"	"garbage"	"Black"	"forehead"	"Neg"	111	1465	1	0	1	"Con"
2	188	"C:\Hannah's FYP\Black3_neu.jpg"	"garbage"	"Black"	"forehead"	"Neg"	111	548	1	0	1	"Con"
2	189	"C:\Hannah's FYP\Black7_neu.jpg"	"paradise"	"Black"	"forehead"	"Pos"	112	861	2	0	1	"Incon"
2	190	"C:\Hannah's FYP\White21_neu.jpg"	"success"	"White"	"nose"	"Pos"	232	823	2	0	1	"Con"
2	191	"C:\Hannah's FYP\White4_neu.jpg"	"vomit"	"White"	"forehead"	"Neg"	211	565	1	0	1	"Incon"
2	192	"C:\Hannah's FYP\White22_neu.jpg"	"disgust"	"White"	"nose"	"Neg"	231	904	1	0	1	"Incon"
2	1	"C:\Hannah's FYP\Black13_neu.jpg"	"poison"	"Black"	"eyes"	"Neg"	121	1953.78977498633	1	0	2	"Con"
2	2	"C:\Hannah's FYP\Black2_neu.jpg"	"romance"	"Black"	"forehead"	"Pos"	112	1953.78977498633	2	0	2	"Incon"
2	3	"C:\Hannah's FYP\White5_neu.jpg"	"love"	"White"	"forehead"	"Pos"	212	1953.78977498633	2	0	2	"Con"
2	4	"C:\Hannah's FYP\White9_neu.jpg"	"vacation"	"White"	"eyes"	"Pos"	222	1004	2	0	2	"Con"
2	5	"C:\Hannah's FYP\Black16_neu.jpg"	"vomit"	"Black"	"eyes"	"Neg"	121	1059	1	0	2	"Con"
2	6	"C:\Hannah's FYP\White15_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	1953.78977498633	2	0	2	"Con"
2	7	"C:\Hannah's FYP\Black4_neu.jpg"	"beauty"	"Black"	"forehead"	"Pos"	112	582	2	0	2	"Incon"
2	8	"C:\Hannah's FYP\White16_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	743	1	0	2	"Incon"
2	9	"C:\Hannah's FYP\Black19_neu.jpg"	"joy"	"Black"	"nose"	"Pos"	132	586	2	0	2	"Incon"
2	10	"C:\Hannah's FYP\White13_neu.jpg"	"beauty"	"White"	"eyes"	"Pos"	222	474	1	1	2	"Con"
2	11	"C:\Hannah's FYP\White3_neu.jpg"	"poison"	"White"	"forehead"	"Neg"	211	375	2	1	2	"Incon"
2	12	"C:\Hannah's FYP\White21_neu.jpg"	"love"	"White"	"nose"	"Pos"	232	1485	2	0	2	"Con"
